"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE"
0.255347601472576,0.255321801029137,7.81280826507225,9897.02374997463,0,3,-200582.680354787,401173.360709574,401209.214630696,3523471.40068896,57724,57727,0.101,-0.015,7.81260525149698
0.427505655465356,0.427478787887707,6.40001626431609,15911.5816490036,0,3,-139585.913652748,279179.827305496,279214.467527264,1745560.23194848,42616,42619,0.053,-0.0195,6.39979100813126
0.752346287696453,0.752327932779847,5.48570938353449,40988.8153596598,0,3,-84230.3405503572,168468.681100714,168501.493691121,812059.805784546,26985,26988,0.74,0.0147,5.48540447791863
0.279022937279101,0.278910993010376,5.37280905092085,2492.51650359606,0,3,-39942.6285281973,79893.2570563946,79923.1120224364,371836.82009492,12881,12884,0.203,0.0066,5.37218349342537
0.275164969818901,0.275129978144945,6.68774236567032,7863.72695851844,0,3,-137520.211117593,275048.422235186,275082.949470419,1852949.22615322,41429,41432,0.17,0.0098,6.68750023892899
0.327307819390009,0.3273026193546,8.28061996364841,62943.3828134511,0,3,-914050.896685675,1828109.79337135,1828151.64751719,17740496.9336813,258726,258729,0.218,-0.0115,8.28057195601899
0.0948534359210852,0.0948307001144947,6.99985687991106,4171.98464208394,0,3,-267926.313117275,535860.62623455,535897.766618357,3901367.46251917,79623,79626,0.119,0.0061,6.99972501488934
0.0810929358975326,0.0810736707907335,7.14537934157085,4209.31670627487,0,3,-322962.697677613,645933.395355225,645971.258648726,4870580.71641025,95396,95399,0.099,-0.0045,7.14526699077812
0.00964400008222925,0.00963011720319928,7.45308073779144,694.668595861558,5.87102653733061e-301,3,-489029.906881408,978067.813762815,978107.287089232,7925258.65433513,142673,142676,0.041,-0.0014,7.4530023806755
0.274321899041019,0.274314108950406,6.8812584389363,35214.2115760381,0,3,-623719.302230207,1247446.60446041,1247487.14515081,8822003.82189102,186308,186311,0.115,0.0116,6.88120303732711
0.339542605152938,0.339534278135415,8.21113231610945,40776.0166481919,0,3,-559089.303649353,1118186.60729871,1118226.50469325,10695261.9353648,158630,158633,0.23,0.0118,8.21105467301686
0.103906888469716,0.103868989883933,6.86920259630132,2741.70886128853,0,3,-158236.89645647,316481.79291294,316516.849298648,2231376.12042985,47289,47292,0.119,0.0062,6.86898471659002
0.0874453404863587,0.087413144795577,7.09820087396624,2716.05728479468,0,3,-191544.910540367,383097.821080734,383133.602563722,2856194.02172706,56688,56691,0.099,-0.0047,7.09801305857801
0.00468621247789773,0.00466268538210457,7.3193566314179,199.183635716551,4.99634446526278e-87,3,-288483.220641537,576974.441283074,577011.824655867,4532809.96453572,84610,84613,0.038,-9e-04,7.31922687437978
0.269430375030922,0.269417240722722,7.03572383792836,20513.4804926762,0,3,-374900.855966047,749809.711932094,749848.190036939,5506833.84836007,111246,111249,0.106,0.0117,7.0356289727439
0.311603843310189,0.311586150162167,8.25262524015397,17611.5546488359,0,3,-274654.788171534,549317.576343068,549354.624855252,5299654.64432469,77815,77818,0.197,0.011,8.25246616311307
0.105359868368159,0.105287363292251,6.89215293873191,1453.13782584672,0,3,-82663.1172369625,165334.234473925,165366.689629908,1172248.73264563,24678,24681,0.117,0.0061,6.89173405199382
0.0415646437287908,0.0414951893749177,7.57237090964926,598.44547405568,3.76895745047079e-255,3,-95044.461900305,190096.92380061,190129.826374661,1582548.77213395,27599,27602,0.069,-0.0033,7.57195938638953
7.84161297251188e-05,2.87897669344339e-05,7.59369077303277,1.58013050555013,0.205960979081151,3,-138886.074053888,277780.148107776,277814.564634022,2323749.49584554,40298,40301,0.022,1e-04,7.59340813120887
0.196567217562127,0.196538467059983,7.50628469838224,6837.00119642357,0,3,-191973.022397122,383954.044794243,383989.769571954,3149083.48440032,55890,55893,0.086,0.01,7.50608324957584
