"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold"
"256",0.935537566280162,0.935536331225679,2.03300695818384,757486.879050301,0,3,-222189.992692446,444387.985384891,444426.208979867,431447.84787979,104388,693,0.495,0.0166,2.03297774558556,41,0.69
"257",0.864603345355715,0.864601098872699,2.08811537447459,384869.744848317,0,3,-259794.98395106,519597.96790212,519636.766982562,525585.980221117,120541,693,0.495,0.0167,2.08808939066328,42,0.69
"258",0.941295983267055,0.941293836828666,1.248736700737,438538.551995111,0,3,-89768.3621942612,179544.724388522,179580.363010726,85294.5217795363,54699,693,0.495,0.0098,1.24870245828274,43,0.69
"259",0.89847068251932,0.898467819917855,2.51696635815632,313865.095550533,0,3,-166134.791132247,332277.582264493,332314.260510633,449381.712237313,70935,693,0.495,0.0136,2.51691313577263,1,0.72
"260",0.956613978713654,0.956612334774458,1.05490699654342,581903.504186188,0,3,-77720.1387426517,155448.277485303,155483.773490435,58738.4410384971,52783,693,0.495,0.0111,1.0548770192203,2,0.72
"261",0.812193438440718,0.812188775451306,1.98755202999325,174178.700973196,0,3,-169634.624758631,339277.249517262,339314.436299101,318209.646170128,80552,693,0.495,0.004,1.9875150198039,3,0.72
"262",0.93965042849412,0.939649288790776,1.7992216088056,824469.308531429,0,3,-212478.9372536,424965.874507199,425004.155773717,342832.259098691,105904,693,0.495,0.0186,1.79919612558423,4,0.72
"263",0.919818852812946,0.919816012279877,1.26863821781679,323819.096865821,0,3,-93542.7771669392,187093.554333878,187129.31934299,90861.1004836056,56455,693,0.495,-0.0109,1.26860451165279,5,0.72
"264",0.965592571301856,0.965592003358494,1.53447025849445,1700156.4535408,0,3,-223810.790061905,447629.580123809,447668.399856974,285294.984709431,121165,693,0.495,0.0195,1.53445126239288,6,0.72
"265",0.958513471200373,0.958512501050271,1.27605072600543,988005.329800205,0,3,-142208.292812077,284424.585624154,284462.012067269,139262.452373323,85526,693,0.495,0.0188,1.27602834654497,7,0.72
"266",0.917518424046653,0.917517768212994,2.55113800151738,1399010.87951955,0,3,-592483.675807511,1184975.35161502,1185017.09296472,1637046.99911399,251532,693,0.495,0.0176,2.55112278805439,8,0.72
"267",0.893712118030049,0.893710868040258,3.10724716674055,714975.533426261,0,3,-434119.294952398,868246.589904796,868286.765648779,1641946.05145414,170062,693,0.495,0.017,3.10721976021184,9,0.72
"268",0.914904840414007,0.914903520433868,2.7205532254038,693120.156703697,0,3,-311996.872437703,624001.744875406,624040.813192174,954293.377890648,128934,693,0.495,-0.0183,2.72052157542299,10,0.72
"269",0.952637404454013,0.952636163799783,1.81321029001085,767850.849694733,0,3,-153778.315300224,307564.630600449,307601.603143247,251021.59201698,76351,693,0.495,0.0249,1.81317466853521,11,0.72
"270",0.902386876133711,0.902385511478235,2.21544358149363,661256.186666286,0,3,-316793.730859728,633595.461719456,633634.945852983,702160.790803234,143059,693,0.495,0.0174,2.21542035252441,12,0.72
"271",0.935217757169922,0.935217095924206,2.13743350944818,1414327.13143728,0,3,-426869.015140997,853746.030281994,853786.772598313,895175.796112702,195940,693,0.495,0.013,2.1374171467175,13,0.72
"272",0.893969302588588,0.89396727871576,2.21840116268354,441712.191903163,0,3,-232168.841220833,464345.682441666,464383.921028962,515654.203634456,104780,693,0.495,0.0172,2.21836940537976,14,0.72
"273",0.949185703099973,0.949184193644861,1.50387893062375,628826.717252892,0,3,-123011.311652585,246030.62330517,246067.092809304,152272.494947117,67328,693,0.495,0.0109,1.50384542683614,15,0.72
"274",0.913248852043597,0.913246053619469,1.84106629563649,326343.974463359,0,3,-125820.161433401,251648.322866801,251684.462619001,210150.556505577,62000,693,0.495,0.0119,1.84102175532636,16,0.72
"275",0.911861951804867,0.911860497429628,1.50390187510083,626978.463159681,0,3,-221443.872486992,442895.744973983,442934.56599441,274129.613895132,121204,693,0.495,-0.0059,1.50388326341362,17,0.72
"276",0.881414481252777,0.88141317094451,2.78334311463045,672677.18879213,0,3,-442124.622997979,884257.245995958,884297.671159892,1402237.78776627,181004,693,0.495,0.0167,2.78332004904751,18,0.72
"277",0.876195145124094,0.876193876846141,3.55710657456726,690854.195255407,0,3,-524770.608672754,1049549.21734551,1049589.94520296,2470284.55132537,195233,693,0.495,0.021,3.55707924517945,19,0.72
"278",0.739921880953259,0.739917891627344,5.27208485053865,185475.415320337,0,3,-401777.60733748,803563.21467496,803602.327815914,3624090.84531208,130387,693,0.495,-0.0244,5.27202420039091,20,0.72
"279",0.932686931210769,0.932684115353467,1.48512045468998,331226.632385542,0,3,-86752.0527061422,173512.105412284,173547.205623677,105448.911991713,47810,693,0.495,0.0171,1.48507386243208,21,0.72
"280",0.779843233142158,0.779838744818437,2.53053054890034,173749.32860254,0,3,-230286.990240408,460581.980480816,460619.955655267,628204.481829558,98102,693,0.495,-0.0128,2.53049185744891,22,0.72
"281",0.870603850378645,0.870602465596191,2.92822976452362,628693.588821675,0,3,-465968.203388586,931944.406777171,931984.959793508,1602433.80661067,186883,693,0.495,-0.0283,2.92820626162734,23,0.72
"282",0.933713942382181,0.933712481484132,1.49049197311883,639136.963144553,0,3,-164986.063938508,329980.127877016,330017.791332024,201600.479016333,90747,693,0.495,0.0217,1.49046733668426,24,0.72
"283",0.911861916670159,0.911860720937077,3.0708055146422,762596.544755574,0,3,-374584.963566615,749177.927133229,749217.5314055,1390157.40216746,147421,693,0.495,0.0311,3.07077426985366,25,0.72
"284",0.828306220166067,0.828305010829255,2.68247573261014,684925.995935849,0,3,-683090.961782664,1366189.92356533,1366232.14977911,2043190.62908505,283947,693,0.495,0.0078,2.68246156207228,26,0.72
"285",0.689219712204237,0.689211933070364,3.44981576660409,88598.51539397,0,3,-212324.152020123,424656.304040246,424693.458365018,950920.084227287,79901,693,0.495,0.0139,3.44975100423647,27,0.72
"286",0.908798605381584,0.908797342458007,2.3032573135627,719599.049585981,0,3,-325441.763911768,650891.527823535,650931.050079885,766195.014891443,144429,693,0.495,0.0132,2.30323339293631,28,0.72
"287",0.950427311817159,0.950426471488162,1.56411992779685,1131018.10763058,0,3,-220193.13717952,440394.274359041,440432.987677952,288644.451988308,117984,693,0.495,0.0202,1.56410004259928,29,0.72
"288",0.84531971411252,0.845317482089867,2.04895825144632,378723.626684196,0,3,-296094.070829174,592196.141658347,592235.499163248,581878.864611071,138601,693,0.495,0.0073,2.04893607709343,30,0.72
"289",0.834096169675857,0.834093939995446,1.83528919141003,374087.768653764,0,3,-301522.665624228,603053.331248455,603092.973139024,501248.174726469,148814,693,0.495,0.0124,1.83527069253113,31,0.72
"290",0.908622644635733,0.908621631768293,2.44543609751986,897079.527996875,0,3,-417376.199200629,834760.398401259,834800.810926952,1079017.79555672,180433,693,0.495,0.0087,2.44541576804352,32,0.72
"291",0.908129168473062,0.908128626004598,2.82232620483628,1674068.13488997,0,3,-832056.801499588,1664121.60299918,1664164.53468009,2698034.90479633,338714,693,0.495,0.0168,2.82231370620562,33,0.72
"292",0.888126788432763,0.88812536136932,1.68731666501061,622345.693638674,0,3,-304498.856091118,609005.712182236,609045.562858185,446381.319943593,156788,693,0.495,0.0117,1.68730052258467,34,0.72
"293",0.910302548092643,0.910296778654686,1.03301370489408,157780.108735011,0,3,-45133.2762700759,90274.5525401519,90307.9320066738,33180.9457770316,31094,693,0.495,0.0176,1.0329638750735,35,0.72
"294",0.819458766433549,0.81945338645758,2.33804062301831,152316.436199908,0,3,-152241.290598882,304490.581197764,304527.038087533,366885.181315984,67116,693,0.495,0.0185,2.33798837104608,36,0.72
"295",0.868589598348402,0.868587834320163,2.07918459886333,492389.849060156,0,3,-320467.527882097,640943.055764194,640982.702355763,644080.727731859,148989,693,0.495,0.0138,2.07916366624548,37,0.72
"296",0.87978220164893,0.879780967417969,2.15016112793043,712818.126455469,0,3,-425555.120630261,851118.241260522,851158.960360004,900625.711414337,194806,693,0.495,0.0234,2.15014457194939,38,0.72
"297",0.92383315033645,0.923831734477323,2.07651123779889,652489.455169204,0,3,-231285.545871747,462579.091743494,462617.436224146,463921.51677758,107591,693,0.495,-0.0136,2.07648228833545,39,0.72
"298",0.877340588701603,0.877338326885627,2.02481499418154,387892.117628353,0,3,-230421.251225011,460850.502450022,460888.879144421,444676.624877203,108461,693,0.495,0.0179,2.02478699186286,40,0.72
"299",0.935109172810913,0.935107864633605,2.00488755202406,714818.371369335,0,3,-209782.789423219,419573.578846437,419611.598863134,398773.906941866,99208,693,0.495,0.0166,2.00485723931617,41,0.72
"300",0.86325841503316,0.863256061031801,2.07707341690031,366719.590701116,0,3,-249775.848900518,499559.697801037,499598.349419432,501219.07523479,116178,693,0.495,0.0167,2.07704659986277,42,0.72
"301",0.942563627623875,0.942561410559726,1.2269465459262,425140.439913789,0,3,-84120.0729269509,168248.145853902,168283.567670945,77999.1775875657,51813,693,0.495,0.0098,1.22691102704288,43,0.72
"302",0.904449011507853,0.904445935568228,2.41001802259248,294039.910385531,0,3,-142811.124049077,285630.248098154,285666.396099507,360851.033810935,62128,693,0.495,0.0135,2.40995983793952,1,0.75
"303",0.955053191213376,0.955051272459532,0.998845301432881,497746.594433,0,3,-66425.8946969563,132859.789393913,132894.808475192,46741.8672107143,46850,693,0.495,0.011,0.998813322862961,2,0.75
"304",0.812489691389777,0.812484500433764,1.94602414119627,156520.241978991,0,3,-150615.850661263,301239.701322526,301276.452762222,273592.534424285,72245,693,0.495,0.004,1.94598373777314,3,0.75
"305",0.941285326555065,0.941284093105348,1.75298927252625,763132.30553341,0,3,-188533.210872338,377074.421744676,377112.276979666,292559.168174727,95204,693,0.495,0.0186,1.75296165371016,4,0.75
"306",0.916999954048436,0.916996680401439,1.22564821799286,280115.710399867,0,3,-82272.4520639298,164552.90412786,164588.239720374,76174.244909876,50708,693,0.495,-0.0108,1.2256119635408,5,0.75
"307",0.968839868377226,0.968839308481953,1.452679324156,1730394.79638541,0,3,-199504.777487274,399017.554974548,399056.03527207,234888.626396347,111307,693,0.495,0.0194,1.45265974789449,6,0.75
"308",0.95975135893601,0.959750314140925,1.22712486186998,918602.48254123,0,3,-125096.216067814,250200.432135627,250237.440923075,116018.59627932,77046,693,0.495,0.0188,1.22710097181027,7,0.75
